start_frame,end_frame,stroke_id,max_speed
744,748,1,54.58
905,919,2,98.92
1054,1055,3,81.39
1195,1197,4,95.76
1340,1343,5,83.45
1485,1488,6,105.8
1634,1636,7,101.08
1776,1789,8,105.55
1924,1927,9,91.66
2061,2064,10,91.66
2203,2206,11,105.55
2346,2348,12,95.59
2493,2493,13,76.66
2641,2644,14,105.55
2796,2799,15,115.7
2939,2944,16,82.56
3078,3088,17,121.83
3222,3225,18,91.66
3368,3370,19,106.39
,,20,0
3653,3656,21,87.93
3803,3804,22,119.2
3946,3948,23,113.76
4091,4094,24,78.78
4233,4236,25,102.07
4372,4384,26,80.01
4515,4517,27,81.12
4660,4661,28,83.45
4801,4802,29,77.61
,,mean_max_speed,95.58111111
