start_frame,end_frame,stroke_id,max_speed
744,748,1,54.57954678965233
905,908,2,98.92242257919528
944,945,3,6.779544851511514
1054,1055,4,81.39425242026836
1195,1197,5,95.76482070244651
1339,1340,6,37.21037664897919
1485,1488,7,105.80489238749742
1634,1636,8,101.0840140663434
1776,1778,9,105.55345293522969
1926,1927,10,91.66498719912248
2061,2064,11,91.66498719912248
2203,2206,12,105.55345293522969
2346,2348,13,95.59218342790268
2641,2644,14,105.55345293522969
2796,2799,15,115.70003897861226
2939,2941,16,44.60159972089495
3078,3080,17,121.825657446365
3085,3087,18,19.30236550053066
3222,3225,19,91.66498719912248
3368,3370,20,106.38702337192191
3655,3656,21,87.932176633498
3802,3804,22,119.20364999372418
3946,3948,23,113.75957072742868
4091,4094,24,78.78030942298271
4233,4236,25,102.06677387548632
4372,4376,26,80.01047821038154
4515,4517,27,81.11584468203088
4659,4661,28,83.45486157963614
4801,4802,29,77.6139456466657
,,,86.22557482989697
